iter	Passed	Remaining
327	69725	993167
328	69901	992428
329	70077	991696
330	70267	991174
331	70441	990423
332	70624	989807
333	70812	989247
334	70974	988346
335	71130	987359
336	71308	986682
337	71485	985996
338	71656	985225
339	71839	984629
340	72026	984082
341	72202	983392
342	72375	982656
343	72552	981994
344	72728	981307
345	72893	980484
346	73071	979828
347	73239	979056
348	73392	978080
349	73561	977312
350	73730	976561
351	73906	975903
352	74089	975334
353	74243	974399
354	74425	973825
355	74601	973172
356	74790	972698
357	74949	971836
358	75144	971431
359	75349	971167
360	75528	970570
361	75697	969849
362	75873	969221
363	76031	968361
364	76248	968255
365	76398	967300
366	76556	966444
367	76755	966118
368	76940	965614
369	77130	965178
370	77330	964861
371	77498	964149
372	77654	963296
373	77822	962582
374	77990	961879
375	78172	961354
376	78387	961231
377	78561	960609
378	78735	959992
379	78894	959186
380	79053	958395
381	79235	957874
382	79399	957142
383	79547	956227
384	79729	955724
385	79899	955067
386	80074	954475
387	80257	953987
388	80445	953561
389	80655	953392
390	80816	952641
391	80988	952033
392	81169	951526
393	81342	950917
394	81509	950252
395	81674	949571
396	81841	948907
397	82005	948213
398	82185	947709
399	82360	947150
400	82528	946505
401	82698	945892
402	82878	945393
403	83048	944775
404	83230	944309
405	83398	943678
406	83584	943247
407	83743	942520
408	83918	941982
409	84102	941542
410	84289	941135
411	84458	940526
412	84638	940041
413	84827	939657
414	85004	939140
415	85175	938563
416	85333	937852
417	85506	937293
418	85682	936784
419	85883	936534
420	86059	936021
421	86231	935470
422	86419	935090
423	86594	934562
424	86804	934428
425	86973	933839
426	87142	933264
427	87297	932534
428	87456	931853
429	87660	931652
430	87832	931111
431	88001	930532
432	88142	929664
433	88294	928921
434	88454	928266
435	88605	927511
436	88753	926735
437	88934	926304
438	89090	925608
439	89255	925012
440	89429	924507
441	89613	924111
442	89796	923712
443	89969	923201
444	90137	922640
445	90303	922071
446	90490	921706
447	90665	921221
448	90838	920727
449	91005	920167
450	91183	919720
451	91381	919472
452	91546	918898
453	91744	918653
454	91899	917983
455	92083	917603
456	92237	916922
457	92413	916468
458	92599	916110
459	92776	915659
460	92936	915055
461	93096	914438
462	93292	914181
463	93477	913824
464	93651	913353
465	93836	912990
466	94007	912498
467	94186	912081
468	94373	911742
469	94531	911118
470	94726	910866
471	94902	910416
472	95078	909977
473	95273	909716
474	95438	909176
475	95616	908762
476	95787	908270
477	95942	907641
478	96145	907460
479	96305	906879
480	96478	906415
481	96659	906028
482	96836	905616
483	97059	905617
484	97206	904921
485	97374	904422
486	97526	903768
487	97693	903262
488	97847	902639
489	98020	902188
490	98171	901534
491	98331	900972
492	98498	900472
493	98680	900107
494	98847	899614
495	99020	899172
496	99177	898583
497	99340	898051
498	99489	897395
499	99639	896756
500	99833	896510
501	99998	896006
502	100206	895877
503	100404	895669
504	100575	895222
505	100739	894711
506	100891	894093
507	101066	893679
508	101242	893283
509	101423	892925
510	101610	892618
511	101787	892233
512	101975	891935
513	102145	891483
514	102369	891508
515	102565	891288
516	102783	891254
517	102959	890861
518	103138	890487
519	103330	890235
520	103491	889707
521	103663	889281
522	103862	889083
523	104044	888742
524	104261	888708
525	104457	888485
526	104655	888282
527	104833	887907
528	105024	887644
529	105196	887224
530	105378	886884
531	105542	886394
532	105728	886096
533	105900	885681
534	106072	885256
535	106234	884755
536	106418	884441
537	106610	884191
538	106796	883893
539	107001	883750
540	107166	883281
541	107351	882978
542	107573	882976
543	107804	883049
544	108019	882983
545	108209	882717
546	108448	882852
547	108675	882885
548	108900	882903
549	109141	883051
550	109349	882930
551	109564	882866
552	109767	882709
553	109992	882721
554	110234	882872
555	110423	882593
556	110630	882460
557	110859	882506
558	111074	882432
559	111295	882417
560	111488	882167
561	111721	882245
562	111925	882083
563	112120	881857
564	112351	881913
565	112560	881786
566	112773	881704
567	112956	881381
568	113145	881102
569	113358	881012
570	113594	881099
571	113791	880892
572	114037	881055
573	114269	881107
574	114480	881001
575	114690	880890
576	114920	880928
577	115153	880986
578	115379	880992
579	115621	881118
580	115835	881024
581	116063	881044
582	116286	881023
583	116532	881178
584	116744	881074
585	116948	880907
586	117169	880869
587	117397	880877
588	117624	880889
589	117841	880813
590	118070	880835
591	118286	880754
592	118520	880811
593	118789	881122
594	119010	881074
595	119197	880781
596	119377	880432
597	119596	880376
598	119858	880632
599	120072	880535
600	120281	880393
601	120526	880524
602	120761	880576
603	120984	880540
604	121202	880471
605	121461	880693
606	121678	880616
607	121903	880595
608	122115	880477
609	122357	880572
610	122564	880415
611	122811	880547
612	123045	880588
613	123261	880499
614	123499	880558
615	123718	880492
616	123941	880445
617	124168	880428
618	124412	880535
619	124650	880596
620	124877	880579
621	125089	880455
622	125309	880381
623	125568	880591
624	125782	880479
625	126006	880432
626	126220	880322
627	126493	880621
628	126730	880667
629	126949	880586
630	127154	880410
631	127358	880222
632	127617	880420
633	127840	880363
634	128070	880358
635	128294	880311
636	128519	880265
637	128713	880012
638	128926	879889
639	129169	879964
640	129415	880068
641	129636	879992
642	129846	879844
643	130092	879939
644	130370	880254
645	130616	880344
646	130841	880296
647	131067	880258
648	131307	880307
649	131520	880178
650	131763	880246
651	131981	880145
652	132197	880031
653	132426	880005
654	132634	879840
655	132868	879850
656	133085	879740
657	133307	879668
658	133529	879589
659	133736	879416
660	133957	879336
661	134176	879242
662	134396	879152
663	134642	879231
664	134885	879289
665	135089	879093
666	135285	878850
667	135555	879079
668	135777	879000
669	136008	878979
670	136236	878935
671	136448	878793
672	136670	878713
673	136906	878719
674	137133	878670
675	137336	878468
676	137547	878313
677	137749	878100
678	137946	877857
679	138168	877773
680	138368	877554
681	138616	877633
682	138841	877568
683	139060	877460
684	139265	877273
685	139493	877223
686	139700	877039
687	139924	876967
688	140162	876984
689	140392	876941
690	140616	876868
691	140788	876467
692	140961	876076
693	141122	875610
694	141318	875358
695	141478	874889
696	141665	874587
697	141831	874154
698	142008	873788
699	142205	873546
700	142386	873207
701	142564	872853
702	142731	872428
703	142908	872067
704	143073	871632
705	143239	871206
706	143417	870852
707	143591	870470
708	143772	870139
709	143968	869896
710	144168	869674
711	144344	869307
712	144525	868976
713	144694	868574
714	144866	868184
715	145045	867840
716	145234	867561
717	145445	867403
718	145640	867155
719	145829	866876
720	146018	866593
721	146205	866296
722	146386	865969
723	146586	865750
724	146771	865446
725	146942	865059
726	147124	864738
727	147326	864532
728	147487	864087
729	147681	863837
730	147834	863343
731	148005	862960
732	148195	862685
733	148384	862409
734	148570	862113
735	148745	861754
736	148908	861326
737	149091	861016
738	149266	860655
739	149460	860407
740	149635	860052
