iter	RMSE
157	5.38633114
158	5.379877956
159	5.373597789
160	5.367407281
161	5.361359676
162	5.355351093
163	5.348533304
164	5.341786222
165	5.334845267
166	5.328224378
167	5.322714693
168	5.317313592
169	5.31102384
170	5.305751496
171	5.299504839
172	5.294236814
173	5.289191919
174	5.283923882
175	5.278817651
176	5.273769285
177	5.268380421
178	5.262708483
179	5.257164702
180	5.251610402
181	5.246986068
182	5.241713992
183	5.236537085
184	5.231887392
185	5.226886251
186	5.221953196
187	5.217266079
188	5.213144403
189	5.208427175
190	5.203648133
191	5.199742412
192	5.195033023
193	5.191329128
194	5.186917282
195	5.182589572
196	5.178636483
197	5.17445875
198	5.17079001
199	5.16713236
200	5.163284349
201	5.159881361
202	5.155983324
203	5.152164548
204	5.14889438
205	5.145555016
206	5.14217161
207	5.138592314
208	5.135286645
209	5.13235895
210	5.128991816
211	5.126039269
212	5.123082946
213	5.119571958
214	5.116728738
215	5.113686061
216	5.110906744
217	5.108046703
218	5.104629267
219	5.101907669
220	5.098948938
221	5.096066795
222	5.09360366
223	5.09094008
224	5.088080973
225	5.084963107
226	5.081953103
227	5.078966382
228	5.076043626
229	5.073731803
230	5.070905981
231	5.068711432
232	5.065862963
233	5.062983985
234	5.060727021
235	5.058531666
236	5.055789034
237	5.053391519
238	5.051382342
239	5.049300411
240	5.047209229
241	5.045086553
242	5.043053462
243	5.040964807
244	5.038965401
245	5.037057283
246	5.034899841
247	5.032512576
248	5.030690576
249	5.028771216
250	5.026432183
251	5.024140146
252	5.021878827
253	5.020136437
254	5.018491091
255	5.016781905
256	5.014609763
257	5.012851417
258	5.011276397
259	5.009517638
260	5.007290544
261	5.005680703
262	5.004103497
263	5.0020922
264	5.000418956
265	4.998547743
266	4.997038809
267	4.995132796
268	4.993499472
269	4.991590467
270	4.989988338
271	4.988032884
272	4.98649943
273	4.985028333
274	4.983244344
275	4.981365575
276	4.979991717
277	4.978469918
278	4.977143121
279	4.975800259
280	4.974444422
281	4.973129413
282	4.971876032
283	4.97064894
284	4.969439448
285	4.968223455
286	4.967015449
287	4.965676211
288	4.964466478
289	4.963204893
290	4.96194663
291	4.960595503
292	4.959378087
293	4.958255331
294	4.957150781
295	4.956084718
296	4.954805528
297	4.953530957
298	4.952400912
299	4.951339049
300	4.950116449
301	4.949017344
302	4.947474436
303	4.946297367
304	4.945120949
305	4.94415275
306	4.943070136
307	4.941825809
308	4.940687113
309	4.939553766
310	4.938132464
311	4.937149826
312	4.936201647
313	4.935244727
314	4.934360036
315	4.933277814
316	4.93238058
317	4.931435854
318	4.930574538
319	4.929686277
320	4.928584993
321	4.92757811
322	4.926752512
323	4.925661387
324	4.924853267
325	4.923593363
326	4.922464037
327	4.921631313
328	4.920590272
329	4.919636516
330	4.918235942
331	4.917232171
332	4.916176039
333	4.914756082
334	4.913732614
335	4.912986004
336	4.91219213
337	4.911170565
338	4.910103693
339	4.90905917
340	4.908034964
341	4.907190559
342	4.90639396
343	4.905673719
344	4.904381219
345	4.903117373
346	4.901841256
347	4.901181447
348	4.899958024
349	4.899269983
350	4.898215501
351	4.897394203
352	4.896563721
353	4.895903907
354	4.894994507
355	4.894105846
356	4.893427749
357	4.892584182
358	4.891884127
359	4.890950372
360	4.890129886
361	4.889004667
362	4.888051199
363	4.887393306
364	4.886642201
365	4.885815831
366	4.885013889
367	4.884140277
368	4.883528062
369	4.882671165
370	4.881831168
371	4.880756159
372	4.880202683
373	4.879443854
374	4.878406743
375	4.877821428
376	4.876975199
377	4.876086618
378	4.875388312
379	4.874773521
380	4.874258388
381	4.873663297
382	4.872842194
383	4.872295251
384	4.871465137
385	4.870916391
386	4.870279327
387	4.869480132
388	4.868697851
389	4.868041664
390	4.867261296
391	4.866665437
392	4.866152504
393	4.865120796
394	4.86443108
395	4.863679331
396	4.863178218
397	4.862651661
398	4.861751573
399	4.86108067
400	4.860439615
401	4.85969706
402	4.859253622
403	4.858772157
404	4.858187535
405	4.857723562
406	4.857021049
407	4.856317425
408	4.855894134
409	4.855338049
410	4.854591414
411	4.853952691
412	4.853387642
413	4.852709435
414	4.852246132
415	4.851295493
416	4.850848986
417	4.850317837
418	4.849788764
419	4.849338307
420	4.848419015
421	4.848033497
422	4.847223823
423	4.846598471
424	4.846095629
425	4.845458672
426	4.845078269
427	4.844694978
428	4.844250395
429	4.843557934
430	4.842677314
431	4.842323741
432	4.841830657
433	4.841197337
434	4.840550925
435	4.840202239
436	4.839866771
437	4.83930823
438	4.838647243
439	4.838043124
440	4.83769431
